Fruta al jugo,,,,,,,,
Fruta al jugo,,60,g,49.7,0.3,12.0,0.7,0.1
,,,,,,,,
,,,,,,,,
TOTAL,,,,49.7,0.3,12.0,0.7,0.1
Compota fruta cubos,,,,,,,,
Manzana,,60,g,37.1,0.2,8.7,0.3,0.2
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,40,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,57.0,0.2,13.7,0.3,0.2
Compota frutilla,,,,,,,,
Frutillas,,60,g,20.6,0.4,4.3,1.6,0.2
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,40,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,40.5,0.4,9.2,1.6,0.2
Puré fruta cocida,,,,,,,,
Manzana,,40,g,24.8,0.1,5.8,0.2,0.1
Kiwi,,40,g,29.8,0.4,6.6,0.7,0.2
Azúcar,,3,ml,11.9,0.0,3.0,0.0,0.0
TOTAL,,,,66.5,0.5,15.3,0.9,0.4
Compota durazno /mote,,,,,,,,
Durazno ,,60,g,29.9,0.4,6.7,0.2,0.2
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Trigo mote,,5,g,7.0,0.2,1.5,0.0,0.0
TOTAL,,,,56.8,0.6,13.2,0.2,0.2
Yogurt /frutillas,,,,,,,,
frutillas,,30,g,10.3,0.2,2.1,0.8,0.1
Yogurt,,50,ml,31.3,1.8,2.4,0.0,1.7
,,,,,,,,
TOTAL,,,,41.6,1.9,4.5,0.8,1.8
Puré fruta cruda,,,,,,,,
Manzana,,40,g,24.8,0.1,5.8,0.2,0.1
Plátano,,40,g,37.6,0.5,8.5,0.3,0.2
Agua,,0,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,62.4,0.6,14.3,0.5,0.3
Puré frutas cocidas,,,,,,,,
Manzana,,60,g,37.1,0.2,8.7,0.3,0.2
kiwi,,20,g,14.9,0.2,3.3,0.3,0.1
Azúcar,,3,g,11.9,0.0,3.0,0.0,0.0
TOTAL,,,,64.0,0.4,15.0,0.6,0.3
Arroz con leche,,,,,,,,
Arroz,,10,g,35.2,0.6,8.0,0.0,0.1
Leche 12%  MG ,,10,g,41.6,3.1,4.6,0.0,1.2
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,100,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,96.7,3.7,17.6,0.0,1.3
Flan ,,,Flan vainilla,,Flan frutilla,,,
Flan,,12,g,47.0,0.1,11.6,0.0,0.0
Leche 12%  MG ,,10,g,41.6,3.1,4.6,0.0,1.2
,,,,,,,,
TOTAL,,,,88.6,3.2,16.2,0.0,1.2
Helado ,,,,,,,,
Helado de leche,,80,ml,74.7,0.6,11.2,0.0,3.0
,,,,,,,,
TOTAL,,,,74.7,0.6,11.2,0.0,3.0
Jalea,,,,,,,,
Jalea,,13,g,51.0,1.2,11.6,0.0,0.0
,,,,,,,,
Agua,,80,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,51.0,1.2,11.6,0.0,0.0
Jalea /yogurt,,,,,,,,
Jalea,,15,g,58.9,1.3,13.4,0.0,0.0
Yogurt,,20,g,12.5,0.7,0.9,0.0,0.7
Agua,,100,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,71.4,2.0,14.3,0.0,0.7
Arroz c/leche,,,,,,,,
Arroz c/leche,,20,g,78.3,2.2,14.5,0.0,1.3
,,,,,,,,
Agua,,80,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,78.3,2.2,14.5,0.0,1.3
Leche asada,,,,,,,,
Leche 12%  MG ,,10,g,41.6,3.1,4.6,0.0,1.2
Huevo,,20,g,32.0,2.7,0.8,0.0,2.0
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,100,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,93.5,5.8,10.4,0.0,3.2
Flan c/leche,,,,,,,,
Flan c/leche,,20,g,78.3,2.2,14.5,0.0,1.3
,,,,,,,,
Agua,,100,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,78.3,2.2,14.5,0.0,1.3
Macedonia,,,,,,,,
Plátano,,25,g,23.5,0.3,5.3,0.2,0.1
Pera,,30,g,16.6,0.1,3.8,0.6,0.1
kiwi,,25,g,18.7,0.2,4.1,0.4,0.2
,,,,,,,,
TOTAL,,,,58.7,0.6,13.2,1.2,0.4
Yogurt /fruta,,,,,,,,
Manzana,,30,g,18.6,0.1,4.4,0.2,0.1
Yogurt,,50,ml,31.3,1.8,2.4,0.0,1.7
TOTAL,,,,49.8,1.8,6.7,0.2,1.7
Yogurt /cereal,,,,,,,,
Yogurt,,80,ml,50.0,2.8,3.8,0.0,2.6
Cereal nartur,,7,g,26.6,0.3,6.3,0.0,0.0
TOTAL,,,,76.6,3.1,10.0,0.0,2.7
Queque,,,,,,,,
Queque,,20,g,71.1,2.1,15.3,0.5,0.2
TOTAL,,20,,71.1,2.1,15.3,0.5,0.2
Yogurt /arandano,,,,,,,,
Yogurt,,80,ml,50.0,2.8,3.8,0.0,2.6
Frutillas,,10,g,0.0,0.0,0.0,0.0,0.0
TOTAL,,90,,50.0,2.8,3.8,0.0,2.6
Frutas,,,,,,,,
Plátano,,80,g,75.2,1.0,17.0,0.6,0.3
Pera,,80,g,44.2,0.2,10.1,1.6,0.3
Manzana,,80,g,49.5,0.2,11.6,0.4,0.2
Pepino,,80,g,22.2,0.3,5.0,0.4,0.1
Guindas,,80,g,55.1,1.4,11.4,0.3,0.4
Cerezas,,80,g,55.1,1.4,11.4,0.3,0.4
Mandarina,,80,g,32.8,0.6,7.2,1.3,0.2
Pepino /jugo naranja,,,,,,,,
Pepino,,80,g,22.2,0.3,5.0,0.4,0.1
Azúcar,,3,g,11.9,0.0,3.0,0.0,0.0
Naranja,,20,g,8.1,0.1,1.7,0.1,0.1
TOTAL,,,,42.2,0.5,9.8,0.5,0.1
Compota damasco,,,,,,,,
Damasco,,60,g,35.9,0.5,7.7,0.7,0.4
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,20,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,55.8,0.5,12.7,0.7,0.4
Compota manzana,,,,,,,,
Manzana,,60,g,37.1,0.2,8.7,0.3,0.2
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
Agua,,20,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,57.0,0.2,13.7,0.3,0.2
Puré plátano c/jugo naranja,,,,,,,,
Plátano,,80,g,75.2,1.0,17.0,0.6,0.3
Naranja,,20,g,8.1,0.1,1.7,0.1,0.1
,,,,,,,,
TOTAL,,,,83.3,1.2,18.8,0.7,0.4
Yogurt,,,,,,,,
Yogurt,,80,g,50.0,2.8,3.8,0.0,2.6
TOTAL,,,,50.0,2.8,3.8,0.0,2.6
Compota manzana membrillo,,,,,,,,
Manzana,,40,g,24.8,0.1,5.8,0.2,0.1
Membrillo,,40,g,21.2,0.2,5.0,0.6,0.0
Azúcar,,3,g,11.9,0.0,3.0,0.0,0.0
Agua,,20,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,57.9,0.3,13.8,0.8,0.2
Compota membrillo,,,,,,,,
Membrillo,,80,g,42.3,0.3,10.1,1.1,0.1
Azúcar,,3,g,11.9,0.0,3.0,0.0,0.0
Agua,,20,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,54.3,0.3,13.1,1.1,0.1
Chirimoya alegre,,,,,,,,
chirimoya,,60,,37.7,1.7,7.0,0.6,0.3
azúcar,,3,,11.9,0.0,3.0,0.0,0.0
naranja,,20,,8.1,0.1,1.7,0.1,0.1
TOTAL,,,,57.7,1.9,11.7,0.7,0.4
Plátano /yogurt,,,,,,,,
Plátano,,80,g,75.2,1.0,17.0,0.6,0.3
Yogurt,,20,g,12.5,0.7,0.9,0.0,0.7
,,,,,,,,
TOTAL,,,,87.7,1.7,18.0,0.6,1.0
Puré damasco,,,,,,,,
Damasco,,80,g,47.8,0.6,10.2,0.9,0.5
Azúcar,,3,g,11.9,0.0,3.0,0.0,0.0
Agua,,30,ml,0.0,0.0,0.0,0.0,0.0
TOTAL,,,,59.8,0.6,13.2,0.9,0.5
Puré membrillo manzana,,,,,,,,
Membrillo,,40,g,21.2,0.2,5.0,0.6,0.0
Manzana,,40,g,24.8,0.1,5.8,0.2,0.1
Azúcar,,3,g,11.9,0.0,3.0,0.0,0.0
TOTAL,,,,57.9,0.3,13.8,0.8,0.2
Puré plátano durazno,,,,,,,,
Plátano,,40,g,37.6,0.5,8.5,0.3,0.2
Durazno ,,40,g,20.0,0.3,4.4,0.1,0.1
,,,,,,,,
TOTAL,,,,57.6,0.8,13.0,0.4,0.3
Puré plátano pera,,,,,,,,
Plátano,,40,g,37.6,0.5,8.5,0.3,0.2
Azúcar,,3,g,11.9,0.0,3.0,0.0,0.0
Pera,,40,g,22.1,0.1,5.0,0.8,0.2
TOTAL,,,,71.6,0.6,16.5,1.1,0.3
Puré plátano manzana,,,,,,,,
Plátano,,40,g,37.6,0.5,8.5,0.3,0.2
Manzana,,40,g,24.8,0.1,5.8,0.2,0.1
TOTAL,,,,62.4,0.6,14.3,0.5,0.3
Macedonia al jugo,,,,,,,,
Macedonia al jugo,,100,g,82.9,0.5,20.0,1.1,0.1
,,,,,,,,
TOTAL,,,,82.9,0.5,20.0,1.1,0.1
Helado de agua,,,,,,,,
Helado de agua,,80,ml,64.0,0.0,16.0,0.0,0.0
TOTAL,,,,64.0,0.0,16.0,0.0,0.0
Piña,,,,,,,,
Piña,,80,g,43.8,0.3,9.9,1.0,0.3
,,,,,,,,
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
,,,,,,,,
TOTAL,,,,63.7,0.3,14.9,1.0,0.3
Plátano molido,,,,,,,,
Plátano,,80,g,75.2,1.0,17.0,0.6,0.3
Pera rallada,,,,,,,,
,,,,,,,,
Pera,,80,g,44.2,0.2,10.1,1.6,0.3
Total,,,,44.2,0.2,10.1,1.6,0.3
Manzana rallada,,,,,,,,
Manzana,,80,g,49.5,0.2,11.6,0.4,0.2
Pepino rallado,,,,,,,,
Pepino,,80,g,22.2,0.3,5.0,0.4,0.1
Mix frutas naturales,,,,,,,,
Pera,,30,g,16.6,0.1,3.8,0.6,0.1
Piña,,30,g,16.4,0.1,3.7,0.4,0.1
Kiwi,,30,g,22.4,0.3,4.9,0.5,0.2
TOTAL,,,,55.4,0.5,12.4,1.5,0.4
Brocheta de frutas,,,,,,,,
Pera,,30,g,16.6,0.1,3.8,0.6,0.1
Uva,,30,g,22.4,0.2,4.9,0.2,0.2
Kiwi,,30,g,22.4,0.3,4.9,0.5,0.2
TOTAL,,,,61.4,0.5,13.6,1.3,0.5
Puré tutti fruti crudo,,,,,,,,
Pera,,20,g,11.0,0.1,2.5,0.4,0.1
Manzana,,20,g,12.4,0.1,2.9,0.1,0.1
,,,,,,,,
Plátano,,40,g,37.6,0.5,8.5,0.3,0.2
TOTAL,,,,61.0,0.6,13.9,0.8,0.3
Puré damasco pera,,,,,,,,
Damasco,,40,g,23.9,0.3,5.1,0.4,0.2
Pera,,40,g,22.1,0.1,5.0,0.8,0.2
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
TOTAL,,,,65.9,0.4,15.1,1.2,0.4
Puré damasco manzana,,,,,,,,
Damasco,,40,g,23.9,0.3,5.1,0.4,0.2
Manzana,,40,g,24.8,0.1,5.8,0.2,0.1
Azúcar,,5,g,19.9,0.0,5.0,0.0,0.0
TOTAL,,,,68.6,0.4,15.9,0.6,0.4
Puré tutti rallado,,,,,,,,
Pera,,20,g,11.0,0.1,2.5,0.4,0.1
Manzana,,20,g,12.4,0.1,2.9,0.1,0.1
,,,,,,,,
Plátano,,40,g,37.6,0.5,8.5,0.3,0.2
TOTAL,,80,0,61.0,0.6,13.9,0.8,0.3
Tutti fruti,,,,,,,,
Pera,,10,g,5.5,0.0,1.3,0.2,0.0
Manzana,,20,g,12.4,0.1,2.9,0.1,0.1
Plátano,,50,g,47.0,0.7,10.7,0.4,0.2
TOTAL,,80,0,64.9,0.7,14.8,0.7,0.3
Helado /plátano,,,,,,,,
helado de leche,,80,cc,74.7,0.6,11.2,0.0,3.0
Plátano,,20,g,18.8,0.3,4.3,0.1,0.1
,,,,,,,,
TOTAL,,100,0,93.5,0.9,15.5,0.1,3.1